Time,Temperature,Pressure,Sound,Light,Pressure,Humidity,Comment
s,°C,kPa,dBA,lx,kPa,%RH,

215.04,34.2,98.4,53.1,105,97.17,59.1,
216,34.2,98.4,60.6,113,97.16,59.0,
216.96,34.2,98.4,46.9,119,97.18,59.0,
217.92,34.2,98.4,47.5,120,97.15,59.0,
218.88,34.2,98.4,40.0,120,97.18,59.0,
219.84,34.2,98.4,66.8,121,97.19,59.0,
220.8,34.2,98.6,71.8,121,97.18,58.9,
221.76,34.2,98.6,58.2,120,97.17,58.9,
222.72,34.2,98.6,69.4,120,97.14,58.9,
223.68,34.2,98.6,70.5,120,97.18,58.9,
224.64,34.2,98.6,70.3,120,97.17,58.9,
225.6,34.2,98.6,53.9,121,97.17,58.9,
226.56,34.2,98.6,40.0,121,97.15,58.9,
227.52,34.2,98.6,70.7,121,97.17,58.9,
228.48,34.3,98.6,62.2,121,97.15,58.9,
229.44,34.3,98.6,69.3,121,97.16,58.8,
230.4,34.3,98.8,62.8,121,97.13,58.8,
231.36,34.3,98.8,62.6,123,97.14,58.8,
232.32,34.3,98.8,45.2,121,97.19,58.8,
233.28,34.3,98.8,65.4,117,97.18,58.8,
234.24,34.3,98.8,68.8,128,97.18,58.8,
235.2,34.3,98.8,48.7,133,97.18,58.7,
236.16,34.3,98.8,69.8,137,97.17,58.7,
237.12,34.4,98.8,74.1,142,97.15,58.7,
238.08,34.4,98.8,67.3,147,97.15,58.7,
239.04,34.4,98.8,51.9,147,97.17,58.7,
240,34.4,98.8,42.0,147,97.19,58.7,
240.96,34.4,99.0,68.9,148,97.17,58.6,
241.92,34.4,99.0,70.0,148,97.14,58.6,
242.88,34.4,99.0,70.7,148,97.15,58.6,
243.84,34.4,99.0,43.7,148,97.17,58.6,
244.8,34.4,99.0,63.0,143,97.15,58.6,
245.76,34.4,99.0,49.1,143,97.17,58.6,
246.72,34.4,99.0,71.0,150,97.15,58.6,
247.68,34.4,99.2,74.0,151,97.15,58.6,
248.64,34.4,99.2,71.2,151,97.19,58.6,
249.6,34.4,99.2,40.0,151,97.17,58.6,
250.56,34.4,99.2,53.0,151,97.18,58.5,
251.52,34.4,99.2,69.3,150,97.18,58.5,
252.48,34.4,99.2,40.0,150,97.18,58.5,
253.44,34.4,99.2,68.9,149,97.18,58.5,
254.4,34.3,99.2,67.7,144,97.16,58.5,
255.36,34.3,99.2,73.8,144,97.17,58.5,
256.32,34.4,99.3,68.3,145,97.17,58.5,
257.28,34.4,99.3,60.6,145,97.15,58.5,
258.24,34.4,99.3,60.5,145,97.14,58.5,
259.2,34.4,99.3,40.0,145,97.16,58.4,
260.16,34.5,99.3,54.2,145,97.18,58.4,
261.12,34.5,99.3,40.0,145,97.16,58.4,
262.08,34.5,99.3,40.0,146,97.17,58.4,
263.04,34.6,99.3,40.0,146,97.18,58.4,
264,34.6,99.5,78.6,145,97.17,58.4,
264.96,34.6,99.5,71.2,145,97.19,58.4,
265.92,34.7,99.5,65.7,145,97.17,58.4,
266.88,34.7,99.5,40.0,145,97.21,58.4,
267.84,34.7,99.5,66.4,145,97.18,58.4,
268.8,34.7,99.5,75.4,148,97.16,58.3,
269.76,34.7,99.5,40.7,148,97.16,58.3,
270.72,34.7,99.5,45.1,148,97.18,58.3,
271.68,34.7,99.5,40.0,151,97.18,58.3,
272.64,34.8,99.5,66.6,154,97.16,58.3,
273.6,34.8,99.5,40.5,155,97.18,58.3,
274.56,34.8,99.7,40.0,155,97.19,58.3,
275.52,34.8,99.7,63.3,155,97.20,58.3,
276.48,34.8,99.7,40.0,155,97.16,58.3,
277.44,34.8,99.7,62.5,155,97.17,58.2,
278.4,34.8,99.7,52.9,155,97.17,58.2,
279.36,34.8,99.7,69.5,150,97.15,58.2,
280.32,34.8,99.7,73.2,150,97.18,58.2,
281.28,34.8,99.7,46.4,150,97.17,58.2,
282.24,34.8,99.7,64.4,151,97.18,58.2,
283.2,34.9,99.7,71.2,152,97.17,58.2,
284.16,34.9,99.7,50.1,152,97.19,58.2,
285.12,34.9,99.9,63.6,153,97.18,58.2,
286.08,34.9,99.9,61.5,154,97.18,58.2,
287.04,34.9,99.9,40.0,154,97.15,58.2,
288,34.9,99.9,66.3,154,97.16,58.1,
288.96,34.9,99.9,44.1,153,97.16,58.1,
289.92,34.9,99.9,67.1,154,97.15,58.1,
290.88,34.9,99.9,75.7,154,97.14,58.1,
291.84,34.9,99.9,61.6,154,97.15,58.1,
292.8,34.9,99.9,40.0,154,97.17,58.1,
293.76,34.9,99.9,51.5,154,97.17,58.1,
294.72,34.9,100.1,62.9,153,97.13,58.1,
295.68,34.9,100.1,40.0,153,97.19,58.1,
296.64,34.9,100.1,40.0,153,97.17,58.1,
297.6,34.9,100.1,63.1,153,97.19,58.1,
298.56,34.9,100.1,40.0,153,97.18,58.0,
299.52,34.9,100.1,49.3,153,97.18,58.0,
300.48,34.9,100.1,49.7,155,97.17,58.0,
301.44,34.9,100.1,40.0,156,97.20,58.0,
302.4,34.9,100.1,67.7,156,97.17,58.0,
303.36,34.9,100.3,63.8,155,97.18,58.0,
304.32,34.9,100.3,57.8,155,97.16,58.0,
305.28,34.9,100.3,57.0,155,97.16,58.0,
306.24,34.9,100.3,69.5,155,97.18,58.0,
307.2,34.9,100.3,58.9,155,97.16,58.0,
308.16,34.9,100.3,65.3,155,97.17,58.0,
309.12,34.9,100.3,40.0,155,97.15,58.0,
310.08,34.9,100.3,64.2,155,97.16,58.0,
311.04,34.9,100.3,66.4,155,97.15,58.0,
312,34.9,100.3,69.7,155,97.16,57.9,
312.96,34.9,100.5,53.9,155,97.16,57.9,
313.92,34.9,100.5,65.8,155,97.16,57.9,
314.88,34.9,100.5,70.9,155,97.14,57.9,
315.84,35.0,100.5,61.8,155,97.15,57.9,
316.8,35.0,100.5,40.0,155,97.11,57.9,
317.76,35.0,100.5,73.3,155,97.16,57.9,
318.72,35.0,100.5,40.0,153,97.16,57.9,
319.68,35.0,100.5,73.9,145,97.17,57.9,
320.64,35.0,100.5,51.0,132,97.20,57.9,
